"","tmp.dates","date.begin","date.end","qf.lst"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2011-02-01_1km.tif","2011-02-01",2011-02-01,2011-02-28,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2011-03-01_1km.tif","2011-03-01",2011-03-01,2011-03-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2011-04-01_1km.tif","2011-04-01",2011-04-01,2011-04-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2011-05-01_1km.tif","2011-05-01",2011-05-01,2011-05-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2011-06-01_1km.tif","2011-06-01",2011-06-01,2011-06-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2011-07-01_1km.tif","2011-07-01",2011-07-01,2011-07-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2011-08-01_1km.tif","2011-08-01",2011-08-01,2011-08-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2011-09-01_1km.tif","2011-09-01",2011-09-01,2011-09-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2011-10-01_1km.tif","2011-10-01",2011-10-01,2011-10-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2011-11-01_1km.tif","2011-11-01",2011-11-01,2011-11-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2011-12-01_1km.tif","2011-12-01",2011-12-01,2011-12-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2012-01-01_1km.tif","2012-01-01",2012-01-01,2012-01-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2012-02-01_1km.tif","2012-02-01",2012-02-01,2012-02-29,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2012-03-01_1km.tif","2012-03-01",2012-03-01,2012-03-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2012-04-01_1km.tif","2012-04-01",2012-04-01,2012-04-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2012-05-01_1km.tif","2012-05-01",2012-05-01,2012-05-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2012-06-01_1km.tif","2012-06-01",2012-06-01,2012-06-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2012-07-01_1km.tif","2012-07-01",2012-07-01,2012-07-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2012-08-01_1km.tif","2012-08-01",2012-08-01,2012-08-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2012-09-01_1km.tif","2012-09-01",2012-09-01,2012-09-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2012-10-01_1km.tif","2012-10-01",2012-10-01,2012-10-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2012-11-01_1km.tif","2012-11-01",2012-11-01,2012-11-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2012-12-01_1km.tif","2012-12-01",2012-12-01,2012-12-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2013-01-01_1km.tif","2013-01-01",2013-01-01,2013-01-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2013-02-01_1km.tif","2013-02-01",2013-02-01,2013-02-28,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2013-03-01_1km.tif","2013-03-01",2013-03-01,2013-03-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2013-04-01_1km.tif","2013-04-01",2013-04-01,2013-04-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2013-05-01_1km.tif","2013-05-01",2013-05-01,2013-05-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2013-06-01_1km.tif","2013-06-01",2013-06-01,2013-06-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2013-07-01_1km.tif","2013-07-01",2013-07-01,2013-07-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2013-08-01_1km.tif","2013-08-01",2013-08-01,2013-08-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2013-09-01_1km.tif","2013-09-01",2013-09-01,2013-09-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2013-10-01_1km.tif","2013-10-01",2013-10-01,2013-10-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2013-11-01_1km.tif","2013-11-01",2013-11-01,2013-11-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2013-12-01_1km.tif","2013-12-01",2013-12-01,2013-12-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2014-01-01_1km.tif","2014-01-01",2014-01-01,2014-01-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2014-02-01_1km.tif","2014-02-01",2014-02-01,2014-02-28,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2014-03-01_1km.tif","2014-03-01",2014-03-01,2014-03-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2014-04-01_1km.tif","2014-04-01",2014-04-01,2014-04-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2014-05-01_1km.tif","2014-05-01",2014-05-01,2014-05-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2014-06-01_1km.tif","2014-06-01",2014-06-01,2014-06-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2014-07-01_1km.tif","2014-07-01",2014-07-01,2014-07-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2014-08-01_1km.tif","2014-08-01",2014-08-01,2014-08-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2014-09-01_1km.tif","2014-09-01",2014-09-01,2014-09-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2014-10-01_1km.tif","2014-10-01",2014-10-01,2014-10-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2014-11-01_1km.tif","2014-11-01",2014-11-01,2014-11-30,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2014-12-01_1km.tif","2014-12-01",2014-12-01,2014-12-31,"l0.05"
"/data/MODIS_work/MOD11A2m/MOD11A2_LST_q0.05_2015-01-01_1km.tif","2015-01-01",2015-01-01,2015-01-31,"l0.05"
